task_type,hop_group,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
conflict_resolution,deep,50,0.6395,0.1806,0.6454,0.1493,0.5743,0.1617,0.734,0.3435,0.6493,0.165
conflict_resolution,medium,50,0.5992,0.2498,0.6223,0.2508,0.66,0.254,0.6002,0.4315,0.6198,0.2495
conflict_resolution,shallow,50,0.6341,0.1954,0.6727,0.1845,0.8533,0.1879,0.7332,0.4154,0.7402,0.1822
issue_spotting,deep,50,0.6264,0.2335,0.6396,0.2026,0.6907,0.1932,0.7884,0.1867,0.7018,0.1604
issue_spotting,medium,50,0.4716,0.225,0.4735,0.2142,0.7417,0.2911,0.7874,0.2917,0.6669,0.2132
issue_spotting,shallow,50,0.4266,0.2589,0.4869,0.2791,0.865,0.2876,0.8732,0.2931,0.7216,0.1903
rule_selection,deep,50,0.6386,0.191,0.6224,0.1773,0.6392,0.2075,0.6944,0.315,0.6574,0.1475
rule_selection,medium,50,0.6025,0.2301,0.616,0.232,0.7125,0.2531,0.8738,0.2845,0.7296,0.1777
rule_selection,shallow,50,0.4772,0.2504,0.521,0.2559,0.79,0.2946,0.7402,0.3945,0.6691,0.2579
temporal_validity,deep,50,0.5868,0.202,0.5865,0.1978,0.4826,0.1756,0.801,0.2773,0.6235,0.1442
temporal_validity,medium,50,0.6391,0.1891,0.6734,0.1858,0.6483,0.2275,0.7472,0.3057,0.6782,0.1715
temporal_validity,shallow,50,0.4138,0.1803,0.44,0.2017,0.8367,0.3077,0.8002,0.3749,0.6836,0.204
