task_type,hop_group,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
conflict_resolution,deep,50,0.54,0.2555,0.5167,0.2377,0.3344,0.1805,0.6004,0.3695,0.4916,0.1943
conflict_resolution,medium,50,0.5612,0.3324,0.5592,0.3334,0.3967,0.274,0.5398,0.431,0.4992,0.2712
conflict_resolution,shallow,50,0.8033,0.3084,0.814,0.3046,0.69,0.2993,0.6072,0.4453,0.7002,0.2638
issue_spotting,deep,50,0.362,0.3668,0.3602,0.3622,0.2876,0.2781,0.5612,0.2297,0.4036,0.2419
issue_spotting,medium,50,0.3726,0.3783,0.3775,0.382,0.3975,0.352,0.5472,0.2852,0.4391,0.2686
issue_spotting,shallow,50,0.44,0.4322,0.4367,0.4427,0.4883,0.4595,0.7272,0.3851,0.5518,0.3404
rule_selection,deep,50,0.3899,0.3151,0.3801,0.3048,0.2732,0.233,0.62,0.3508,0.4277,0.2251
rule_selection,medium,50,0.5117,0.3659,0.5136,0.3665,0.4058,0.3185,0.7936,0.3493,0.5704,0.2736
rule_selection,shallow,50,0.4673,0.3798,0.5093,0.4027,0.4333,0.3945,0.6206,0.4261,0.5071,0.3153
temporal_validity,deep,50,0.4108,0.3161,0.4003,0.3055,0.2514,0.2149,0.5534,0.3733,0.4052,0.2488
temporal_validity,medium,50,0.6553,0.3603,0.6515,0.365,0.3933,0.2796,0.6806,0.3926,0.5764,0.252
temporal_validity,shallow,50,0.6467,0.3258,0.7267,0.3446,0.665,0.4136,0.6802,0.4565,0.664,0.2736
