task_type,hop_group,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
conflict_resolution,deep,49,0.6288,0.2157,0.6213,0.2263,0.5081,0.2013,0.6876,0.3993,0.6082,0.1905
conflict_resolution,medium,50,0.6383,0.2252,0.6421,0.2274,0.6142,0.2379,0.647,0.4387,0.6331,0.2227
conflict_resolution,shallow,50,0.74,0.2444,0.7502,0.2427,0.7933,0.2994,0.7068,0.4499,0.7467,0.246
issue_spotting,deep,45,0.5246,0.2892,0.4985,0.2929,0.5207,0.2705,0.7504,0.1891,0.5986,0.2047
issue_spotting,medium,48,0.5507,0.2397,0.5457,0.2448,0.6398,0.3035,0.7785,0.2605,0.6563,0.215
issue_spotting,shallow,50,0.5465,0.3131,0.564,0.3153,0.7933,0.3572,0.8468,0.3103,0.7289,0.2458
rule_selection,deep,48,0.6204,0.2386,0.5914,0.2521,0.526,0.2265,0.7573,0.2982,0.6346,0.192
rule_selection,medium,50,0.5948,0.2577,0.5827,0.2585,0.6342,0.3131,0.8534,0.3242,0.6941,0.2384
rule_selection,shallow,50,0.5205,0.3044,0.4944,0.3396,0.7833,0.3123,0.7066,0.445,0.6701,0.2609
temporal_validity,deep,47,0.5389,0.2412,0.5329,0.2247,0.4056,0.2322,0.6319,0.3888,0.5255,0.2218
temporal_validity,medium,50,0.6928,0.2527,0.6731,0.2766,0.6358,0.2674,0.7072,0.3849,0.6786,0.2352
temporal_validity,shallow,50,0.4444,0.2349,0.4557,0.2344,0.7983,0.354,0.8,0.4041,0.6809,0.228
