task_type,hop_group,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
conflict_resolution,deep,50,0.6699,0.1678,0.6705,0.163,0.5068,0.1685,0.6272,0.4079,0.6013,0.1991
conflict_resolution,medium,50,0.7418,0.2175,0.727,0.2165,0.6508,0.231,0.7002,0.4166,0.6976,0.2137
conflict_resolution,shallow,50,0.8384,0.2012,0.8384,0.2012,0.8667,0.1963,0.7736,0.4008,0.8262,0.1912
issue_spotting,deep,50,0.7367,0.2173,0.7252,0.2207,0.6435,0.2246,0.7884,0.1867,0.7228,0.168
issue_spotting,medium,50,0.7171,0.1742,0.7198,0.1779,0.7558,0.2108,0.834,0.245,0.769,0.1584
issue_spotting,shallow,50,0.6687,0.3116,0.6853,0.3119,0.855,0.3126,0.8534,0.31,0.7924,0.2054
rule_selection,deep,50,0.6765,0.1831,0.6485,0.1977,0.5509,0.2091,0.8142,0.262,0.6805,0.1684
rule_selection,medium,50,0.7102,0.2139,0.7116,0.2117,0.6942,0.2656,0.847,0.2874,0.7505,0.1892
rule_selection,shallow,50,0.6674,0.2575,0.6834,0.2534,0.7667,0.2842,0.7338,0.3984,0.7226,0.2636
temporal_validity,deep,50,0.59,0.2011,0.5689,0.2181,0.433,0.2039,0.754,0.3147,0.5923,0.1669
temporal_validity,medium,50,0.7724,0.1868,0.7655,0.2051,0.61,0.1936,0.5872,0.4076,0.6565,0.1858
temporal_validity,shallow,50,0.5423,0.2778,0.561,0.2841,0.8233,0.313,0.8802,0.2757,0.7486,0.193
