task_type,hop_group,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
conflict_resolution,deep,50,0.3951,0.2964,0.3868,0.2913,0.2468,0.2068,0.501,0.4224,0.381,0.2672
conflict_resolution,medium,50,0.5931,0.3278,0.5855,0.3253,0.43,0.295,0.6004,0.4469,0.5412,0.2718
conflict_resolution,shallow,50,0.641,0.4111,0.646,0.4129,0.5733,0.3842,0.6336,0.4481,0.616,0.3456
issue_spotting,deep,50,0.3686,0.3307,0.3525,0.317,0.2935,0.2779,0.5554,0.2916,0.4058,0.2559
issue_spotting,medium,50,0.4483,0.311,0.4532,0.3065,0.445,0.3211,0.6348,0.2883,0.5094,0.2706
issue_spotting,shallow,50,0.538,0.4231,0.5667,0.4403,0.6217,0.4433,0.7868,0.355,0.6488,0.3387
rule_selection,deep,50,0.4289,0.3048,0.4121,0.2933,0.2858,0.2448,0.5946,0.3889,0.4364,0.2673
rule_selection,medium,50,0.543,0.3192,0.5339,0.3267,0.4458,0.2904,0.7738,0.3463,0.5876,0.2651
rule_selection,shallow,50,0.4865,0.3838,0.5033,0.3897,0.45,0.3765,0.5006,0.4533,0.479,0.3395
temporal_validity,deep,50,0.3534,0.2947,0.3277,0.2668,0.2112,0.1883,0.6008,0.4154,0.3884,0.2584
temporal_validity,medium,50,0.5862,0.3671,0.5805,0.3665,0.3292,0.3041,0.6004,0.4367,0.5052,0.3035
temporal_validity,shallow,50,0.676,0.3491,0.6993,0.3565,0.63,0.402,0.7138,0.4206,0.6733,0.2897
