task_type,hop_group,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
conflict_resolution,deep,50,0.291,0.2846,0.2881,0.2833,0.1873,0.1655,0.407,0.3893,0.2951,0.2344
conflict_resolution,medium,50,0.4885,0.3755,0.4766,0.3811,0.3492,0.2659,0.5334,0.4316,0.457,0.2726
conflict_resolution,shallow,50,0.5873,0.4559,0.5873,0.4559,0.5483,0.365,0.5004,0.4582,0.5454,0.3536
issue_spotting,deep,50,0.2842,0.3183,0.2708,0.3197,0.2187,0.2511,0.448,0.2998,0.317,0.231
issue_spotting,medium,50,0.2548,0.2921,0.2271,0.2877,0.2983,0.2772,0.4672,0.3026,0.3401,0.2086
issue_spotting,shallow,50,0.2667,0.4206,0.2133,0.3913,0.4883,0.4381,0.5804,0.4409,0.4451,0.3052
rule_selection,deep,50,0.2292,0.2515,0.2286,0.2482,0.1994,0.1796,0.4804,0.4055,0.303,0.2247
rule_selection,medium,50,0.3874,0.2971,0.3857,0.2952,0.285,0.2124,0.6008,0.3931,0.4244,0.2376
rule_selection,shallow,50,0.2953,0.3631,0.282,0.3614,0.35,0.3806,0.5538,0.45,0.3997,0.3144
temporal_validity,deep,50,0.2064,0.2366,0.1761,0.2298,0.1515,0.1653,0.407,0.4118,0.255,0.2143
temporal_validity,medium,50,0.4499,0.4166,0.3626,0.4189,0.2417,0.2431,0.4802,0.4428,0.3906,0.2942
temporal_validity,shallow,50,0.6367,0.3835,0.5167,0.4195,0.4583,0.4439,0.607,0.4503,0.5673,0.3045
