task_type,hop_group,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
conflict_resolution,deep,50,0.5501,0.2747,0.525,0.2581,0.3335,0.1623,0.5608,0.3782,0.4815,0.2003
conflict_resolution,medium,50,0.6285,0.251,0.6003,0.251,0.4625,0.2569,0.5538,0.4399,0.5483,0.244
conflict_resolution,shallow,50,0.7129,0.2919,0.7379,0.2989,0.7067,0.2863,0.5136,0.4481,0.6444,0.2323
issue_spotting,deep,50,0.4196,0.3392,0.3838,0.3404,0.3687,0.2457,0.468,0.3027,0.4188,0.2468
issue_spotting,medium,50,0.4201,0.341,0.3965,0.3306,0.445,0.3334,0.5074,0.3524,0.4575,0.2765
issue_spotting,shallow,50,0.4661,0.3715,0.4947,0.405,0.595,0.4499,0.7602,0.3813,0.6071,0.3055
rule_selection,deep,50,0.464,0.3287,0.438,0.3181,0.3267,0.2378,0.5546,0.3966,0.4484,0.2752
rule_selection,medium,50,0.4899,0.3203,0.4716,0.3312,0.38,0.3067,0.7206,0.3712,0.5302,0.2515
rule_selection,shallow,50,0.4364,0.3168,0.4258,0.3148,0.525,0.369,0.5404,0.4564,0.5006,0.2909
temporal_validity,deep,50,0.4256,0.3212,0.4108,0.3283,0.2744,0.2073,0.5806,0.4144,0.4269,0.2362
temporal_validity,medium,50,0.6037,0.3896,0.5751,0.4169,0.3975,0.2552,0.5462,0.4198,0.5158,0.2635
temporal_validity,shallow,50,0.5157,0.2542,0.5597,0.279,0.6183,0.3891,0.7336,0.4041,0.6225,0.2515
