task_type,hop_group,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
conflict_resolution,deep,49,0.5358,0.2578,0.4205,0.2724,0.491,0.2024,0.7282,0.4065,0.585,0.2001
conflict_resolution,medium,50,0.5681,0.2674,0.5345,0.2935,0.5917,0.2643,0.7334,0.4098,0.631,0.2272
conflict_resolution,shallow,50,0.703,0.2487,0.6314,0.3127,0.805,0.2617,0.7866,0.3856,0.7649,0.1946
issue_spotting,deep,47,0.3999,0.2919,0.3063,0.2519,0.5353,0.2647,0.8021,0.308,0.5791,0.2295
issue_spotting,medium,49,0.3599,0.3041,0.2977,0.3055,0.6182,0.3513,0.7561,0.2703,0.5781,0.2346
issue_spotting,shallow,50,0.4245,0.3679,0.418,0.3771,0.7433,0.3897,0.9002,0.2629,0.6893,0.2763
rule_selection,deep,50,0.4573,0.235,0.3807,0.2466,0.5246,0.2395,0.734,0.3564,0.572,0.1905
rule_selection,medium,50,0.5102,0.2808,0.4629,0.2726,0.6325,0.2877,0.8668,0.3159,0.6698,0.2124
rule_selection,shallow,50,0.4662,0.3142,0.4515,0.3163,0.74,0.3436,0.8136,0.3445,0.6733,0.2664
temporal_validity,deep,48,0.4499,0.2469,0.3429,0.2305,0.3988,0.1945,0.7504,0.3798,0.533,0.1902
temporal_validity,medium,50,0.662,0.3243,0.3954,0.3696,0.6008,0.2969,0.7668,0.3582,0.6765,0.2459
temporal_validity,shallow,50,0.4457,0.2235,0.4553,0.2484,0.8483,0.2953,0.9202,0.2478,0.7381,0.1548
