task_type,hop_group,count,norm_coverage_list_mean,norm_coverage_list_std,norm_coverage_reasoning_mean,norm_coverage_reasoning_std,step_correctness_mean,step_correctness_std,answer_correctness_mean,answer_correctness_std,final_score_mean,final_score_std
conflict_resolution,deep,49,0.5638,0.23,0.5297,0.2166,0.3348,0.1692,0.6261,0.3453,0.5082,0.1989
conflict_resolution,medium,50,0.5828,0.3501,0.5882,0.3502,0.4092,0.2923,0.5934,0.4006,0.5284,0.2993
conflict_resolution,shallow,50,0.768,0.3584,0.768,0.3584,0.6667,0.354,0.6268,0.408,0.6872,0.3223
issue_spotting,deep,45,0.4974,0.309,0.4777,0.3035,0.3149,0.2282,0.6167,0.214,0.4763,0.2126
issue_spotting,medium,49,0.4575,0.3405,0.4564,0.3418,0.3784,0.3028,0.5861,0.286,0.474,0.2703
issue_spotting,shallow,50,0.5067,0.4567,0.54,0.4757,0.56,0.4592,0.794,0.3221,0.6202,0.3536
rule_selection,deep,48,0.5167,0.2758,0.5081,0.2744,0.3455,0.2303,0.654,0.3226,0.5054,0.2137
rule_selection,medium,50,0.5265,0.2832,0.521,0.2976,0.4183,0.2513,0.8,0.3437,0.5816,0.2469
rule_selection,shallow,50,0.58,0.3582,0.6,0.3625,0.53,0.3842,0.5934,0.4434,0.5678,0.3201
temporal_validity,deep,46,0.3849,0.2876,0.3249,0.2806,0.2178,0.1956,0.5367,0.3757,0.3798,0.2372
temporal_validity,medium,50,0.6989,0.319,0.6707,0.3191,0.3567,0.2554,0.7138,0.2943,0.5898,0.2145
temporal_validity,shallow,50,0.7367,0.3452,0.7433,0.3614,0.6867,0.3863,0.7472,0.3723,0.7235,0.278
